file,eng
00332c65-edad-a153-9c78-628931daa732_734_1.jpg,"£ N 8 /)=2/0%0-8.¢0 “Each fim-coated ablet contsing divalproex sodum, USP equivalet 10250 mg of valproic ok RIS ) o Once-Dally Dosing tsing achik-resistant closure: g Divalproex Sodium :TMZTWT £ i and all medication Extended-Release iy o mectonti Tablets, USP ‘Store at 20° to 25°C (68° to TT°F). e USP Contoled oom EXN () e Activity Usual Dosage: See accompanying Bk prescabing informaton PRARIACE Dispere e aconganying Meticaion Gt o cach patieat Mylan Pharmaceuticas Inc. o . ([MMylan MMylan® ) G5 Mylan.com"
00332c65-edad-a153-9c78-628931daa732_734_2.jpg,"- R *Each film-coated tablet contains Dispense in a tight, light-resistant confainer & divalproex sodium, USP equivalent LT as defined in the USP using a chld-resistant = wz 10500 mg of valproic acid. Once-Daily Dosing _ closure. § o Divalproex Sodium Keep container tightly closed. £ W | — Extended-Release Keep this and all medication out of the °|°__ @ Tablets, USP reach of children. o @nkaa Store at 20° to 25°C (68° to 77°F). [See ﬂ_ 55 E 500 mg* € USP Controlled Room Temperature.] o é g g g Valproic Acid Activity Usual Dosage: See accompanying & paee PRARMACIST: Dispense the accompanying Wedication] _ rescribing information. J g 5 Guide to each patient. i : Mylan Pharmaceuticals Inc. - é @ Myl an® Merantown, WV 26505 USA g 311\ Tablets @]Mylan@\ Mylan.com o"
00411010-9e39-4e7b-a82f-7b71383d1ba1_409_1.jpg,Pashaged by Eryane Reanch Buabank. 04 91500 Glipizide ER 5mg 5™ Tablet oa B & Keepall drugs outof Compare To: reach of children [ — Sorm st morltamp F Par Pharmaceutical Inc. g 20-25 C (68-77F) #90 Exp: MMYY 5 NDC 7133503881 040711111245
00411010-9e39-4e7b-a82f-7b71383d1ba1_409_2.jpg,Pachaged by Eopant Reech Bnbank. €4 91504 Glipizide ER 5™ ™woc:re 10mg Tablet 10 60021 Store at room temp of Compare To: 20°25°C (68°77°F) Glcotl XL 10mg Tabkt “Keop all drugs outof Par Pharmaceutical Inc. reach of children. #30 Exp: MMYY NDC 7133508511 031581120094 om
004de5a4-80f8-4040-a6ea-be5e99352a36_282_1.jpg,"NDC 47335-859-83 (Once Daily) Tramadol Hydrochloride Extended-Release Tablets @/ The tablets should be swallowed whole with liquid and not spl, chewed, dissolved or crushed. Rxonly PHARMACIST: Please dispen: o 30 Tablets Guide provided separately PULB1923B 1SS, 01/2017 GUIDRUGS/25/789 0Open for Full Labeling —"
004de5a4-80f8-4040-a6ea-be5e99352a36_282_2.jpg,"Each extended-release coated tablet contains 200 mg of tramadol hydrochioride, USP. NDC 47335-860-83 (Once Daily) Tramadol Hydrochloride Extended-Release Tablets @/ Dispense in a tight, light-resistant container. m 'WARNING: Keep out of reach of children. The tablets should be swallowed whole ‘with liquid and not split, chewed, dissolved or crushed. PHARMACIST: Please dispense with Medication Guide provided separately 10 each patient. R only \ 30 Tablets Usual Dosage: Please see accompanying prescribing information. Store at 20°to 25°C (68° to 77°F); excursions permitted between 15°and 30°C (59° and 86°F) [see USP Controlled Room Temperature]. Distributed by: Sun Pharmaceutical Industries, Inc. Cranbury, NJ 08512 3|| — — —_— — 47335 Manufactured by: Sun Pharmaceutical Industries Ltd. Halol-Baroda Highway, Halol-389 350, Gujarat, India. GUJDRUGS/25/789 PJLB1927B ISS. 01/2017"
004de5a4-80f8-4040-a6ea-be5e99352a36_282_3.jpg,"WO 47335-861-83 (0nce Daily) Tramadol Hydrochloride Extended-Release Tablels@/ The tablets should be swallowed whole with liquid and not spl, chewed, dissolved or crushed. PHARMACIST: Please dispense with Medication Guide provided separately to each patient. © Each extended-release coated tablet contains 300 mg of tramadol hydrochloride, USP Usual Dosage: Please see accompanying prescribing information. Dispense in atight, light-esistant container. WARNING: Keep out of reach of children. Store at 20° to 25°C (68° 0 77°F); excursions permited between 15° and 30°C (59° and 86°F) [see USP Controlled Room Temperature). Distributed by: Sun Pharmaceutical Industries, Inc. Cranbury, NJ 08512 Rx only 30 Tablets ( 86 183 47335 N 3 Manufactured by: Sun Pharmaceutical Industries Ltd. Halol-Baroda Highway, Halol-389 350, Gujarat, India. GUJDRUGS/25/789 PJLB1931B ISS. 01/2017"
00570e0a-6cca-4513-8ab5-d3b5496cc151_155_1.jpg,"TS T CSHIS Tncarporiied G Tncorporaied _GSIS Tncorporared _GSMS Tncorporaed NDC 60429-121-30 VENLAFAXINE iHYDROCHLORIDE EXTENDED-RELEASE CAPSULES 37.5 mg* 30 capsules e paskags insart for dozags information. e B o oA e, Rx only"
00570e0a-6cca-4513-8ab5-d3b5496cc151_155_2.jpg,"NDC 60429-122-30 VENLAFAXINE HYDROCHLORIDE EXTENDED-RELEASE CAPSULES 75 mg* 30 capsules Ses package nsertfor dosage nformation. oo o o e, Rx only"
00570e0a-6cca-4513-8ab5-d3b5496cc151_155_3.jpg,"CSHS carparaied _GSNS crporared_GSMS Tncorporared Tneorporaied %1 Elz g% NDC 60429-123-30 VENLAFAXINE HYDROCHLORIDE EXTENDED-RELEASE CAPSULES 150 mg* 30 capsules - s £ i g & e package insertfor dosags informtion | e, | B oniy"
